competition_id,competition_name,governing_org,domain_primary,competition_tier,typical_team_size,common_role_titles,grad_skew_typical,us_focus,official_url,notes
fsae_ic,Formula SAE (Combustion),SAE International,automotive,3,50-150,"Team Captain;Chief Engineer;Powertrain Lead;Chassis Lead;Suspension Lead;Aero Lead;Electronics Lead",undergrad_majority,TRUE,fsaeonline.com,Combustion vehicle build; full systems integration
fsae_ev,Formula SAE Electric,SAE International,automotive_ev,3,50-150,"Team Captain;Chief Engineer;Battery Lead;Powertrain Lead;Embedded Lead;Controls Lead;HV Systems Lead",undergrad_majority,TRUE,fsaeonline.com,EV with HV systems; direct power_electronics + embedded pipeline
baja_sae,Baja SAE,SAE International,automotive_offroad,2,40-100,"Team Captain;Chief Engineer;Drivetrain Lead;Suspension Lead;Frame Lead",undergrad_majority,TRUE,bajasae.net,Off-road durability; mech/manufacturing heavy; lighter on software
sae_aero,SAE Aero Design,SAE International,aerospace,2,30-80,"Team Captain;Chief Engineer;Aero Lead;Structures Lead",undergrad_majority,TRUE,saeaerodesign.com,RC fixed-wing build; East and West venues
aiaa_dbf,AIAA Design Build Fly,AIAA,aerospace,3,30-80,"Team Captain;Chief Engineer;Aero Lead;Structures Lead;Avionics Lead",undergrad_majority,TRUE,aiaa.org/dbf,Top US fixed-wing collegiate competition
usli,NASA Student Launch Initiative,NASA,rocketry,2,20-60,"Team Captain;Chief Engineer;Propulsion Lead;Avionics Lead;Payload Lead;Recovery Lead",undergrad_majority,TRUE,nasa.gov/studentlaunch,Mid-altitude high-power rocketry; payload focus
irec,Spaceport America Cup (IREC),ESRA,rocketry,3,20-80,"Team Captain;Chief Engineer;Propulsion Lead;Avionics Lead;Recovery Lead;Structures Lead",mixed,TRUE,soundingrocket.org,Highest-altitude collegiate rocketry; SRAD categories; top SpaceX pipeline
urc,University Rover Challenge,Mars Society,robotics_planetary,3,15-50,"Team Captain;Mechanical Lead;Electronics Lead;Software Lead;Science Lead",mixed,FALSE,urc.marssociety.org,International event; many strong US teams compete
robosub,RoboSub,RoboNation,robotics_marine,2,15-40,"Team Captain;Mechanical Lead;Electrical Lead;Software Lead;CV Lead",mixed,TRUE,robosub.org,Autonomous underwater vehicles; perception heavy
roboboat,RoboBoat,RoboNation,robotics_marine,2,15-40,"Team Captain;Mechanical Lead;Electrical Lead;Software Lead",undergrad_majority,TRUE,roboboat.org,Autonomous surface vessels
robocup,RoboCup,RoboCup Federation,robotics,2,10-30,"Team Lead;Software Lead;Hardware Lead",grad_majority,FALSE,robocup.org,Heavily research/grad; multiple sub-leagues
iac,Indy Autonomous Challenge,Energy Systems Network,autonomous_racing,3,15-40,"Team Lead;Perception Lead;Controls Lead;Planning Lead",grad_majority,TRUE,indyautonomouschallenge.com,Heavily PhD/research-led; top AV pipeline
f1tenth,F1Tenth Autonomous Racing,F1Tenth Foundation,autonomous_racing,2,5-15,"Team Lead;Software Lead",mixed,FALSE,f1tenth.org,More accessible undergrad autonomy entry point
suas,AUVSI SUAS Competition,AUVSI Foundation,uav,3,15-40,"Team Lead;Autonomy Lead;Imaging Lead;Mission Lead",undergrad_majority,TRUE,suas-competition.org,Defense-relevant autonomous UAV; payload/target ID
lunabotics,NASA Lunabotics,NASA,robotics,2,15-30,"Team Lead;Mechanical Lead;Software Lead",mixed,TRUE,nasa.gov/lunabotics,Robotic mining; lunar regolith analog
solar_challenge,American Solar Challenge / Formula Sun,Innovators Educational Foundation,energy,3,20-40,"Team Captain;Chief Engineer;Battery Lead;Solar Array Lead;Mechanical Lead;Strategy Lead",undergrad_majority,TRUE,americansolarchallenge.org,Solar EV cross-country and track racing
cubesat,University CubeSat / Nanosat,NASA CSLI / AFRL UNP,space,3,20-60,"Project Lead;Mission Manager;Avionics Lead;Power Lead;Comms Lead;Structures Lead",mixed,TRUE,nasa.gov/cubesats,Real flight hardware; multi-year programs
ccdc,Collegiate Cyber Defense Competition,National CCDC,cyber,2,8-12,"Team Captain;Network Lead;Incident Response Lead",undergrad_majority,TRUE,nationalccdc.org,Defensive cyber; defense pipeline
ctf,Capture the Flag (DEFCON / CSAW / etc),multiple,cyber,3,5-20,"Team Captain;Pwn Lead;Web Lead;Crypto Lead;Reverse Engineering Lead",mixed,TRUE,ctftime.org,Offensive security; PPP-style elite teams
vfs_design,VFS Student Design Competition,Vertical Flight Society,aerospace_rotorcraft,2,10-25,"Team Lead;Aero Lead;Structures Lead",mixed,TRUE,vtol.org,Rotorcraft / eVTOL design; Joby/Archer pipeline
vex_u,VEX U Robotics,REC Foundation,robotics,1,5-15,"Team Captain;Builder Lead;Programmer Lead",undergrad_majority,TRUE,roboticseducation.org,Lower signal than other robotics; more accessible
